,id,original_title,title,original_language,overview,release_date,popularity,vote_count,vote_average,runtime,adult,genre_names
220,238636,The Purge: Anarchy,The Purge: Anarchy,en,"One night per year, the government sanctions a 12-hour period in which citizens can commit any crime they wish -- including murder -- without fear of punishment or imprisonment. Leo, a sergeant who lost his son, plans a vigilante mission of revenge during the mayhem. However, instead of a death-dealing avenger, he becomes the unexpected protector of four innocent strangers who desperately need his help if they are to survive the night.",2014-07-17,61.71,5695,6.7,104,FALSE,"Horror, Thriller"
221,509635,Alone,Alone,en,"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her.",2020-09-10,61.413,474,6.3,98,FALSE,"Horror, Thriller"
222,116322,La Leyenda de la Llorona,The Legend of La Llorona,es,"Based on a famous Mexican legend, a group of kids must stop the ghost of a woman whose guilt over the drowning of her own children leads her to abduct youngsters who wander the woods at night.",2011-10-21,61.125,191,7.8,81,FALSE,"Animation, Family, Fantasy, Horror"
223,348,Alien,Alien,en,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",1979-05-25,60.982,12083,8.1,117,FALSE,"Horror, Science Fiction"
224,777620,Caged,Caged,en,"An African American male is imprisoned and placed in solitary confinement after being found guilty of murdering his wife, as he's haunted by internal demons and his dead wife, and pushed to the breaking point by an abusive female guard.",2021-01-26,60.884,86,6.7,81,FALSE,"Horror, Thriller"
225,420634,Terrifier,Terrifier,en,"On Halloween night, a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown.",2016-10-15,60.726,612,6.5,84,FALSE,"Horror, Thriller"
226,585216,Escape Room: Tournament of Champions,Escape Room: Tournament of Champions,en,"Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive as they discover all the games that they've played before.",2021-07-01,60.72,1341,6.7,88,FALSE,"Horror, Mystery, Thriller"
227,19994,Jennifer's Body,Jennifer's Body,en,"Jennifer, a gorgeous, seductive cheerleader takes evil to a whole new level after she's possessed by a sinister demon. Now it's up to her best friend to stop Jennifer's reign of terror before it's too late.",2009-09-18,60.685,3104,5.8,107,FALSE,"Comedy, Horror"
228,259072,Wrong Turn 6: Last Resort,Wrong Turn 6: Last Resort,en,"A sudden and mysterious inheritance brings Danny and his friends to Hobb Springs, a forgotten resort deep in the West Virginia hills. Hobb Springs is being looked after under the watchful care of Jackson and Sally, a socially awkward couple who introduce Danny to the long lost family he's never known. A clan by the name of Hillicker. But soon Danny learns his relatives have a different way of living, that for generations, the Hillickers have observed ancient traditions rooted in cannibalism and other taboo rituals.",2014-08-22,60.624,664,5.3,91,FALSE,Horror
229,215,Saw II,Saw II,en,"When a new murder victim is discovered with all the signs of Jigsaw's hand, Detective Eric Matthews begins a full investigation and apprehends Jigsaw with little effort. But for Jigsaw, getting caught is just another part of his plan. Eight more of his victims are already fighting for their lives and now it's time for Matthews to join the game.",2005-10-28,60.408,4357,6.6,89,FALSE,Horror
230,523931,Megalodon,Megalodon,en,"A military vessel on the search for an unidentified submersible finds themselves face to face with a giant shark, forced to use only what they have on board to defend themselves from the monstrous beast.",2018-08-10,60.183,223,5.7,90,FALSE,"Action, Horror, Science Fiction, TV Movie"
231,575088,Яга. Кошмар тёмного леса,Baba Yaga: Terror of the Dark Forest,ru,"The young family who moved to a new apartment on the outskirts of the city. The nanny hired by them for the newborn daughter quickly gained confidence. However, the older boy, Egor, talks about the frightening behavior of a woman, but his parents do not believe him. The surveillance cameras installed by the father for comfort only confirm everything is in order. Then one day, Egor, returning home, finds no trace of either the nanny or the little sister, and the parents are in a strange trance and do not even remember that they had a daughter. Then Egor, together with his friends, goes in search, during which it turns out that the nanny is an ancient Slavic demon, popularly known as Baba Yaga.",2020-02-27,59.92,187,5.9,96,FALSE,Horror
